interview_number,interview_date,interview_time,respondent_gender,respondent_age,respondent_class,respondent_home,number_alters,alter1_gender,alter1_age,alter1_class,alter1_home,alter1_howclose,alter1_howoften,alter2_gender,alter2_age,alter2_class,alter2_home,alter2_howclose,alter2_howoften,alter3_gender,alter3_age,alter3_class,alter3_home,alter3_howclose,alter3_howoften,alter4_gender,alter4_age,alter4_class,alter4_home,alter4_howclose,alter4_howoften,alter5_gender,alter5_age,alter5_class,alter5_home,alter5_howclose,alter5_howoften
3,2022-09-03,15:05:00,Female,32,Other,Rest of California,4,Female,35,Other,Rest of United States,Friend,More than once a week,Female,30,Other,Rest of California,Friend,More than once a week,Male,27,Other,Rest of California,Friend,More than once a week,Male,29,Other,Rest of California,Friend,More than once a week,NA,NA,NA,NA,NA,NA
1,2022-08-30,15:00:00,Male,19,Sophomore,Bay Area,3,Female,49,Other,Bay Area,Close friend,Once a week,Male,50,Other,Bay Area,Close friend,More than once a week,Male,19,Sophomore,LA Area,Close friend,More than once a week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2022-09-03,22:30:00,Female,21,Senior,Bay Area,5,Female,50,Other,Rest of California,Close friend,More than once a week,Female,19,Sophomore,Bay Area,Close friend,More than once a week,Female,21,Senior,Rest of California,Close friend,More than once a week,Female,22,Other,LA Area,Close friend,More than once a week,Female,19,Sophomore,LA Area,Friend,Once a week
3,2022-09-04,13:30:00,Male,21,Senior,Rest of World,5,Female,21,Senior,Bay Area,Close friend,More than once a week,Male,21,Senior,Rest of World,Close friend,Once a week,Male,21,Senior,Rest of World,Close friend,Once a week,Female,22,Senior,Rest of World,Close friend,Once a week,Female,20,Other,Rest of World,Close friend,More than once a week
2,2022-09-04,11:10:00,Female,20,Senior,Rest of California,6+,Male,20,Other,LA Area,Close friend,Once a month,Male,21,Senior,LA Area,Close friend,Once a month,Female,21,Senior,Rest of California,Close friend,More than once a week,Male,21,Senior,Rest of California,Close friend,More than once a week,Male,21,Senior,Bay Area,Close friend,More than once a week
1,2022-09-02,12:54:00,Male,19,Sophomore,Rest of United States,5,Female,46,Other,Rest of United States,Close friend,More than once a week,Female,13,Other,Rest of United States,Close friend,More than once a week,Female,20,Junior,Rest of California,Friend,Once a week,Female,19,Sophomore,Rest of United States,Friend,Once a month,Female,19,Sophomore,Rest of United States,Friend,Once a month
2,2022-09-04,18:05:00,Female,21,Senior,Bay Area,5,Female,59,Other,Rest of World,Close friend,More than once a week,Male,65,Other,Rest of World,Close friend,More than once a week,Female,31,Other,Bay Area,Close friend,Once a week,Male,28,Other,Bay Area,Close friend,Once a week,Male,31,Other,Rest of United States,Close friend,Once a month
3,2022-09-04,18:23:00,Female,21,Senior,Bay Area,5,Female,48,Other,Rest of World,Close friend,More than once a week,Female,21,Senior,Bay Area,Close friend,More than once a week,Female,21,Senior,Bay Area,Close friend,More than once a week,Female,21,Senior,Bay Area,Close friend,More than once a week,Male,21,Senior,Bay Area,Close friend,More than once a week
1,2022-08-31,16:43:00,Female,19,Junior,Rest of California,5,Female,20,Junior,Rest of United States,Close friend,More than once a week,Female,20,Junior,Bay Area,Close friend,More than once a week,Female,49,Other,Rest of United States,Close friend,More than once a week,Female,22,Other,Bay Area,Close friend,Once a week,Female,70,Other,Rest of World,Close friend,Once a month
2,2022-09-03,14:21:00,Female,20,Junior,Bay Area,6+,Female,20,Junior,Rest of United States,Close friend,More than once a week,Female,19,Junior,Rest of California,Close friend,More than once a week,Male,20,Junior,Rest of United States,Close friend,Once a week,Female,20,Junior,Rest of United States,Close friend,Once a week,Female,25,Other,Bay Area,Close friend,Once a week
